Beggars and Choosers by Nancy Kress (1995) | Science fiction novel
Brittle Innings by Michael Bishop (1995) | unknown
Towing Jehovah by James Morrow (1995) | unknown
The Diamond Age by Neal Stephenson (1996) | Science fiction novel
The Time Ships by Stephen Baxter (1996) | unknown
Brightness Reef by David Brin (1996) | Science fiction
The Terminal Experiment by Robert J. Sawyer (1996) | Science fiction
Remake by Connie Willis (1996) | Science fiction
Blue Mars by Kim Stanley Robinson (1997) | Science fiction
Memory by Lois McMaster Bujold (1997) | Science fiction
Remnant Population by Elizabeth Moon (1997) | Science fiction
Starplex by Robert J. Sawyer (1997) | unknown
Holy Fire by Bruce Sterling (1997) | Science fiction novel
Forever Peace by Joe Haldeman (1998) | Science fiction
City on Fire by Walter Jon Williams (1998) | Science fiction novel
The Rise of Endymion by Dan Simmons (1998) | Science fiction
Frameshift by Robert J. Sawyer (1998) | unknown
Jack Faust by Michael Swanwick (1998) | Steam-Punk
To Say Nothing of the Dog by Connie Willis (1999) | Science fiction
Children of God by Mary Doria Russell (1999) | Science fiction novel
Darwinia by Robert Charles Wilson (1999) | Science fiction
Distraction by Bruce Sterling (1999) | unknown
Factoring Humanity by Robert J. Sawyer (1999) | unknown
A Deepness in the Sky by Vernor Vinge (2000) | Hard science fiction
A Civil Campaign by Lois McMaster Bujold (2000) | Science fiction
Cryptonomicon by Neal Stephenson (2000) | Speculative fiction
Darwin's Radio by Greg Bear (2000) | Science fiction
Harry Potter and the Prisoner of Azkaban by J. K. Rowling (2000) | Fantasy
Harry Potter and the Goblet of Fire by J. K. Rowling (2001) | Fantasy
A Storm of Swords by George R. R. Martin (2001) | Fantasy
Calculating God by Robert J. Sawyer (2001) | unknown
The Sky Road by Ken MacLeod (2001) | unknown
Midnight Robber by Nalo Hopkinson (2001) | Science fiction
American Gods by Neil Gaiman (2002) | unknown
The Curse of Chalion by Lois McMaster Bujold (2002) | Fantasy novel
Passage by Connie Willis (2002) | Science fiction novel
Perdido Street Station by China Miéville (2002) | Speculative fiction
The Chronoliths by Robert Charles Wilson (2002) | Science fiction
Cosmonaut Keep by Ken MacLeod (2002) | unknown
Hominids by Robert J. Sawyer (2003) | unknown
Kiln People by David Brin (2003) | Science fiction
Bones of the Earth by Michael Swanwick (2003) | Science fiction
The Scar by China Miéville (2003) | Fantasy
The Years of Rice and Salt by Kim Stanley Robinson (2003) | Alternate history
Paladin of Souls by Lois McMaster Bujold (2004) | Fantasy
Ilium by Dan Simmons (2004) | Science fiction novel
Singularity Sky by Charles Stross (2004) | unknown
Blind Lake by Robert Charles Wilson (2004) | Science fiction novel
Humans by Robert J. Sawyer (2004) | unknown
Jonathan Strange & Mr Norrell by Susanna Clarke (2005) | unknown
River of Gods by Ian McDonald (2005) | Science fiction novel
The Algebraist by Iain M. Banks (2005) | Science fiction
Iron Sunrise by Charles Stross (2005) | Science fiction
Iron Council by China Miéville (2005) | Steampunk
